pa	n.	A shortened form of Papa.
paage	n.	A toll for passage over another person's grounds.
paard	n.	The zebra.
paas	n.	Pace
paas	n.	The Easter festival.
pabular	a.	Of, pertaining to, or fit for, pabulum or food; affording food.
pabulation	n.	The act of feeding, or providing food.
pabulation	n.	Food; fodder; pabulum.
pabulous	a.	Affording pabulum, or food; alimental.
pabulum	n.	The means of nutriment to animals or plants; food; nourishment; hence, that which feeds or sustains, as fuel for a fire; that upon which the mind or soul is nourished; as, intellectual pabulum.
pac	n.	A kind of moccasin, having the edges of the sole turned up and sewed to the upper.
paca	n.	A small South American rodent (Coelogenys paca), having blackish brown fur, with four parallel rows of white spots along its sides; the spotted cavy. It is nearly allied to the agouti and the Guinea pig.
pacable	a.	Placable.
pacane	n.	A species of hickory. See Pecan.
pacate	a.	Appeased; pacified; tranquil.
pacated	a.	Pacified; pacate.
pacation	n.	The act of pacifying; a peacemaking.
pace	n.	A single movement from one foot to the other in walking; a step.
pace	n.	The length of a step in walking or marching, reckoned from the heel of one foot to the heel of the other; -- used as a unit in measuring distances; as, he advanced fifty paces.
pace	n.	Manner of stepping or moving; gait; walk; as, the walk, trot, canter, gallop, and amble are paces of the horse; a swaggering pace; a quick pace.
pace	n.	A slow gait; a footpace.
pace	n.	Specifically, a kind of fast amble; a rack.
pace	n.	Any single movement, step, or procedure.
pace	n.	A broad step or platform; any part of a floor slightly raised above the rest, as around an altar, or at the upper end of a hall.
pace	n.	A device in a loom, to maintain tension on the warp in pacing the web.
pace	v. i.	To go; to walk; specifically, to move with regular or measured steps.
pace	v. i.	To proceed; to pass on.
pace	v. i.	To move quickly by lifting the legs on the same side together, as a horse; to amble with rapidity; to rack.
pace	v. i.	To pass away; to die.
pace	v. t.	To walk over with measured tread; to move slowly over or upon; as, the guard paces his round.
pace	v. t.	To measure by steps or paces; as, to pace a piece of ground.
pace	v. t.	To develop, guide, or control the pace or paces of; to teach the pace; to break in.
paced	imp. & p. p.	of Pace
paced	a.	Having, or trained in, [such] a pace or gait; trained; -- used in composition; as, slow-paced; a thorough-paced villain.
pacer	n.	One who, or that which, paces; especially, a horse that paces.
pacfier	n.	One who pacifies.
pacha		The chief admiral of the Turkish fleet.
pacha	n.	See Pasha.
pachacamac	n.	A divinity worshiped by the ancient Peruvians as the creator of the universe.
pachak	n.	The fragrant roots of the Saussurea Costus, exported from India to China, and used for burning as incense. It is supposed to be the costus of the ancients.
pachalic	a. & n.	See Pashalic.
pachisi	n.	Alt. of Parchesi
pachometer	n.	An instrument for measuring thickness, as of the glass of a mirror, or of paper; a pachymeter.
pachonta	n.	A substance resembling gutta-percha, and used to adulterate it, obtained from the East Indian tree Isonandra acuminata.
pachy-		A combining form meaning thick; as, pachyderm, pachydactyl.
pachycarpous	a.	Having the pericarp thick.
pachydactyl	n.	A bird or other animal having thick toes.
pachydactylous	a.	Having thick toes.
pachyderm	n.	One of the Pachydermata.
pachydermal	a.	Of or relating to the pachyderms; as, pachydermal dentition.
pachydermata	n. pl.	A group of hoofed mammals distinguished for the thickness of their skins, including the elephant, hippopotamus, rhinoceros, tapir, horse, and hog. It is now considered an artificial group.
pachydermatous	a.	Of or pertaining to the pachyderms.
pachydermatous	a.	Thick-skinned; not sensitive to ridicule.
pachydermoid	a.	Related to the pachyderms.
pachyglossal	a.	Having a thick tongue; -- applied to a group of lizards (Pachyglossae), including the iguanas and agamas.
